Year,Sem,,College,Dept,Num,Section,Instructor,Course Name,Course Level,Total # Students,# Responses,Response Rate,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,,Overall course rate
2019,Fall,,Heinz College,AEM,93703,A,"CRAWFORD, BRETT",ARTS ENT: MGT & STR,Graduate,32,26,81.3%,8.23,4.73,4.15,4.54,4.35,4.73,4.27,4.77,4.42,,4.31
2019,Fall,,Heinz College,AEM,93809,A2,"DONALDSON, LESLIE",PUBLIC ART,Graduate,12,10,83.3%,6.20,5.00,4.90,5.00,4.90,5.00,4.90,5.00,5.00,,5.00
2019,Fall,,Heinz College,AEM,93813,A2,"MCMAHON, J",ARTS FACILITIES MNGT,Graduate,11,10,90.9%,3.20,4.50,4.20,4.00,3.90,4.70,4.50,4.50,4.30,,4.40
2019,Fall,,Heinz College,AEM,93828,A2,"MCMAHON, JAMES",ADV TPCS FUNDRAISING,Graduate,13,11,84.6%,6.09,4.27,3.55,4.09,3.55,4.55,4.00,4.73,4.00,,4.00
2019,Fall,,Heinz College,AEM,93830,A,"CRAWFORD, BRETT",DISRPT TECH ARTS ENT,Graduate,15,14,93.3%,4.14,4.79,4.43,4.57,4.43,4.79,4.50,4.79,4.64,,4.29
2019,Fall,,Heinz College,AEM,93831,A,"GURWIN, DAVID",LAW AND THE ARTS,Graduate,34,25,73.5%,10.44,4.20,4.16,4.28,3.40,4.56,4.08,4.04,3.88,,3.92
2019,Fall,,Heinz College,AEM,93861,A,"GREEN, DANIEL",SCRIPT/STORY ANALYSS,Graduate,29,18,62.1%,5.33,4.72,4.39,4.61,4.56,4.78,4.39,4.83,4.39,,4.39
2019,Fall,, College of Fine Arts,ARC,48025,A,"WORKINGER, HEATHER",FRST YR SEM:ARCH EDT,Undergraduate,70,25,35.7%,3.92,3.96,3.96,3.83,3.38,3.71,3.46,4.42,3.67,,3.21
2019,Fall,, College of Fine Arts,ARC,48095,A,"BARBUTO, NINA MARIE",SPTL CNCP NON-ARCTSI,Undergraduate,14,8,57.1%,11.00,4.75,3.63,3.75,4.25,4.38,4.25,4.88,4.25,,4.25
2019,Fall,, College of Fine Arts,ARC,48100,1,"ARSCOTT, MARY-LOU",ARCH DESIGN STUDIO,Undergraduate,69,28,40.6%,23.50,3.78,2.59,2.63,3.15,3.30,3.00,4.00,3.07,,3.30
2019,Fall,, College of Fine Arts,ARC,48116,A,"KARAGUZEL, OMER",BUILDING PHYSICS,Undergraduate,43,19,44.2%,6.74,3.32,3.32,2.83,2.22,2.44,2.42,3.89,2.11,,1.84
2019,Fall,, College of Fine Arts,ARC,48200,B,"KLINE, JONATHAN",ARCH DES STDIO COMP,Undergraduate,10,2,20.0%,24.00,4.00,5.00,3.50,3.00,4.00,3.50,4.50,4.00,,4.50
2019,Fall,, College of Fine Arts,ARC,48200,D,"KLINE, JONATHAN",ARCH DES STDIO COMP,Undergraduate,11,8,72.7%,25.50,2.75,2.50,2.63,2.63,2.88,2.50,2.88,2.25,,2.63
2019,Fall,, College of Fine Arts,ARC,48200,C,"MOSS, ANDREW",ARCH DES STDIO COMP,Undergraduate,10,3,30.0%,22.67,4.67,4.00,4.00,4.00,3.67,4.00,4.67,4.67,,3.67
2019,Fall,, College of Fine Arts,ARC,48200,D,"PERTIERRA, JOSE",ARCH DES STDIO COMP,Undergraduate,11,8,72.7%,25.88,4.63,4.00,4.13,4.38,4.50,4.38,3.50,4.13,,4.13
2019,Fall,, College of Fine Arts,ARC,48200,A,"SHAW, LORI",ARCH DES STDIO COMP,Undergraduate,10,3,30.0%,25.00,4.33,3.67,3.67,2.67,4.00,3.33,4.67,3.00,,3.67
2019,Fall,, College of Fine Arts,ARC,48200,1,"KLINE, JONATHAN",ARCH DES STDIO COMP,Undergraduate,41,14,34.1%,24.07,3.14,2.79,2.93,3.00,3.07,3.07,3.57,2.71,,2.93
2019,Fall,, College of Fine Arts,ARC,48200,B,"LUCCHINO, JENNIFER",ARCH DES STDIO COMP,Undergraduate,10,2,20.0%,24.00,4.00,4.50,4.50,3.00,5.00,3.00,4.50,3.00,,4.00
2019,Fall,, College of Fine Arts,ARC,48200,C,"KLINE, JONATHAN",ARCH DES STDIO COMP,Undergraduate,10,3,30.0%,20.50,2.50,2.00,2.00,2.00,2.00,2.00,2.50,2.00,,2.00
2019,Fall,, College of Fine Arts,ARC,48200,A,"KLINE, JONATHAN",ARCH DES STDIO COMP,Undergraduate,10,3,30.0%,26.00,5.00,4.00,4.33,4.00,4.33,4.00,4.67,4.33,,4.00
2019,Fall,, College of Fine Arts,ARC,48215,A,"DAMIANI, GERARD",MATERIALS & ASSEMBLY,Undergraduate,56,16,28.6%,9.69,4.56,4.56,4.69,4.00,4.75,4.63,3.88,4.56,,4.38
2019,Fall,, College of Fine Arts,ARC,48233,A,"DAWKINS, MARANTHA",BIOFORM,Undergraduate,19,8,42.1%,9.50,4.50,2.88,3.63,3.50,4.13,3.38,4.25,3.63,,3.50
2019,Fall,, College of Fine Arts,ARC,48250,A,"GRUBER, STEFAN",CSE STD ARC CIT,Undergraduate,41,15,36.6%,8.40,4.07,3.40,3.47,3.07,3.87,3.73,4.27,3.73,,3.40
2019,Fall,, College of Fine Arts,ARC,48300,1,"CUPKOVA, DANA",ARCH DSGN STDIO INT,Undergraduate,37,13,35.1%,23.38,4.46,4.15,4.08,4.23,4.23,4.46,4.69,4.31,,4.08
2019,Fall,, College of Fine Arts,ARC,48315,1,"LOFTNESS, VIVIAN",ENVIR I: CLIM & ENG,Undergraduate,47,19,40.4%,9.95,4.58,3.79,4.05,4.21,4.68,4.00,4.68,4.11,,3.89
2019,Fall,, College of Fine Arts,ARC,48338,A,"TORELLO, FRANCESCA",EURO CITIES XIX CENT,Undergraduate,19,9,47.4%,6.00,4.78,4.44,4.67,4.22,4.89,4.44,4.89,4.56,,4.56
2019,Fall,, College of Fine Arts,ARC,48339,A,"TOWNSEND, J.",MKG THGS INTTRTV UG,Undergraduate,4,1,25.0%,11.00,4.00,2.00,2.00,3.00,3.00,1.00,5.00,3.00,,4.00
2019,Fall,, College of Fine Arts,ARC,48356,A,"COOPER, DOUGLAS",COLOR DRAWING,Undergraduate,14,3,21.4%,5.00,4.67,4.67,4.67,4.33,4.00,4.33,4.67,4.67,,4.33
2019,Fall,, College of Fine Arts,ARC,48358,A1,"BEN-ALON, Lola",EARTHEN BUILDING,Undergraduate,8,6,75.0%,5.50,5.00,5.00,4.83,4.83,5.00,4.83,5.00,4.33,,4.17
2019,Fall,, College of Fine Arts,ARC,48358,B1,"BEN-ALON, Lola",EARTHEN BUILDING,Undergraduate,26,14,53.8%,8.23,4.79,4.62,4.57,4.69,4.57,4.71,4.93,4.71,,4.71
2019,Fall,, College of Fine Arts,ARC,48400,F,"FICCA, JEREMY",ASOS I,Undergraduate,11,2,18.2%,27.00,4.50,4.50,4.50,5.00,5.00,3.50,4.50,4.00,,4.00
2019,Fall,, College of Fine Arts,ARC,48400,J,"MONDOR, CHRISTINE",ASOS I,Undergraduate,8,4,50.0%,23.00,4.75,4.50,4.50,4.25,4.50,4.75,5.00,4.50,,4.50
2019,Fall,, College of Fine Arts,ARC,48400,C,"BIZON, HEATHER",ASOS I,Undergraduate,11,7,63.6%,19.29,4.57,4.14,4.29,3.86,3.71,4.43,4.86,4.29,,4.57
2019,Fall,, College of Fine Arts,ARC,48400,A,"BADJATIA, AKHIL",ASOS I,Undergraduate,8,4,50.0%,24.50,4.50,4.50,4.50,4.25,4.50,4.50,4.00,4.00,,4.25
2019,Fall,, College of Fine Arts,ARC,48400,1,"ARSCOTT, MARY-LOU",ASOS I,Undergraduate,51,5,9.8%,25.00,3.80,3.40,3.60,3.80,4.00,3.80,4.20,3.80,,3.80
2019,Fall,, College of Fine Arts,ARC,48400,I,"LEE, STEPHEN",ASOS I,Undergraduate,6,1,16.7%,17.00,3.00,4.00,2.00,4.00,5.00,3.00,3.00,3.00,,4.00
2019,Fall,, College of Fine Arts,ARC,48400,D,"DAMIANI, GERARD",ASOS I,Undergraduate,5,1,20.0%,27.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,5.00
2019,Fall,, College of Fine Arts,ARC,48400,F,"TORELLO, FRANCESCA",ASOS I,Undergraduate,11,2,18.2%,27.00,4.50,4.50,4.50,5.00,5.00,5.00,5.00,5.00,,3.50
2019,Fall,, College of Fine Arts,ARC,48432,A,"BAIRD, NINA",ENV II,Undergraduate,55,18,32.7%,8.83,3.82,2.82,2.94,2.47,3.18,2.35,3.35,2.12,,2.06
2019,Fall,, College of Fine Arts,ARC,48455,A,"OPPENHEIM, IRVING",STRUCTURES ELECTIVE,Undergraduate,9,3,33.3%,4.00,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,,4.67
2019,Fall,, College of Fine Arts,ARC,48470,A,"SMITH, SCOTT",EXPLRG PTRN THR LAMN,Undergraduate,7,1,14.3%,8.00,4.00,3.00,3.00,4.00,5.00,5.00,3.00,5.00,,5.00
2019,Fall,, College of Fine Arts,ARC,48500,H,"HAYES, HAL",ASOS III,Undergraduate,7,3,42.9%,27.00,5.00,4.67,5.00,4.67,4.33,4.67,5.00,5.00,,5.00
2019,Fall,, College of Fine Arts,ARC,48500,B,"BARD, JOSHUA",ASOS III,Undergraduate,7,1,14.3%,27.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,5.00
2019,Fall,, College of Fine Arts,ARC,48500,1,"ARSCOTT, MARY-LOU",ASOS III,Undergraduate,34,5,14.7%,20.75,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,,4.50
2019,Fall,, College of Fine Arts,ARC,48500,J,"MONDOR, CHRISTINE",ASOS III,Undergraduate,4,1,25.0%,21.00,5.00,4.00,5.00,4.00,5.00,5.00,5.00,5.00,,5.00
2019,Fall,, College of Fine Arts,ARC,48500,A,"BADJATIA, AKHIL",ASOS III,Undergraduate,4,2,50.0%,27.00,4.00,4.00,4.00,3.50,3.50,5.00,2.50,3.50,,4.00
2019,Fall,, College of Fine Arts,ARC,48500,D,"DAMIANI, GERARD",ASOS III,Undergraduate,6,2,33.3%,27.00,4.50,4.50,4.50,4.50,4.50,4.00,3.00,4.50,,4.50
2019,Fall,, College of Fine Arts,ARC,48500,G,"GRUBER, STEFAN",ASOS III,Undergraduate,3,3,100.0%,22.67,4.67,3.67,4.33,4.00,5.00,3.67,3.67,3.67,,3.67
