course_id	course_name_x	course_desc	units_x	course_name_y	units_y	College	Total # Students	# Responses	Response Rate	Hrs Per Week	Interest in student learning	Clearly explain course requirements	Clear learning objectives & goals	Instructor provides feedback to students to improve	Demonstrate importance of subject matter	Explains subject matter of course	Show respect for all students	Overall teaching rate	Overall course rate
90703	Gender Politics and Policies in the US and Across the World	1 Women political participation in the U S and in selected countries across the world including the expansion of political and voting rights the role of women as political leaders and the overall participation of women in the political and policymaking process Within the U S we will pay attention to the situation of racial and sexual minorities including African American and Latina women as well as issues affecting Lesbian and Transgender Women 2 The evolution of womens economic rights in the U S and selected countries Central issues here are the wage gap the glass ceiling and the overall female participation in the private sector 3 Women in conflict and sex trafficking Lastly the course will examine the role of women in conflict as both participants and victims as well as the role of both men and women in preventing sex trafficking Goals of this course The readings and class discussions are going to focus not only what has happened but also on the policies that are been implemented and should be implemented to reduce the negative effect of past actions The course should be of interest to both men and women because we are all part of the same society	6	Gender	6	Heinz College	23	12	52.20%	6.5	4.25	4	4	3.92	4.42	3.83	4.25	4.17	3.83
90704	Poverty Inequality and Social Policies An International Comparison	In her book Social Forces and States Judith Teichman argues that significant and long term improvement in distributional outcomes is a daunting political task that requires a strong societal consensus on the importance of the reduction in inequality one that compels political leaders to make difficult policy changes Teichmans words indicate that poverty and inequality are not just socioeconomic problems but critical political and policy problems both in the U S and in the rest of the world and that these problems do not have easy solutions This class attempts to tackle some of those complex problems by looking at poverty inequality and the social and economic policies designed to ameliorate these problems in the U S and selected African Asian European and Latin American countries	12	Poverty	6	Heinz College	19	16	84.20%	7.06	4.94	4.88	4.88	4.94	4.94	4.88	4.94	4.93	4.81
90705	Policy Analysis I	This class aims to survey the broad field of public policy as both an academic discipline and as a field of practice The curriculum covers in a systematic way the main dimensions and understandings of public policy making Core frameworks for public policy making and the debates about them are discussed and analyzed in particular the ideas of the policy cycle the garbage can approach and the ongoing debates about the motivational and institutional foundations of public policy Issues and problems at the main stages or steps in the public policy making process are also explored from the definition of policy problems and the setting of policy agendas to the theory and practice of policy analysis to the issues surrounding the delivery implementation and evaluation of public policies Current issues and perspectives in public policy are used throughout to illustrate the general concepts and theories The class draws on case study material from a variety of policy areas and is concerned with how concepts and theories shape contemporary public policy practice Read More	12	Policy Analysis I	12	Heinz College	14	12	85.70%	12.67	4.75	4.75	4.64	3.91	4.55	4.58	4.67	4.67	4.67
90707	Statistical Reasoning	This course will provide an introduction to the principles of data collection description and analysis You will learn the basic tools of statistical inference and modeling as well as how to interpret results measure the uncertainty in result and understand the limitations of results You will also learn how to interpret statistical output and how not to be fooled by statistical studies	12	Statistical Reasoning	12	Heinz College	49	35	71.40%	8	4.74	4.77	4.8	4.37	4.69	4.65	4.74	4.68	4.43
90707	Statistical Reasoning	This course will provide an introduction to the principles of data collection description and analysis You will learn the basic tools of statistical inference and modeling as well as how to interpret results measure the uncertainty in result and understand the limitations of results You will also learn how to interpret statistical output and how not to be fooled by statistical studies	12	Statistical Reasoning	12	Heinz College	14	11	78.60%	12.18	4.45	4.64	4.64	4.36	4.45	4.45	4.73	4.55	4.55
90707	Statistical Reasoning	This course will provide an introduction to the principles of data collection description and analysis You will learn the basic tools of statistical inference and modeling as well as how to interpret results measure the uncertainty in result and understand the limitations of results You will also learn how to interpret statistical output and how not to be fooled by statistical studies	12	Statistical Reasoning	12	Heinz College	19	12	63.20%	11	4.58	4.58	4.67	4.58	4.42	4.58	4.75	4.5	4.33
90709	Intermediate Economic Analysis	This is a course in economics relevant to public policy and management for those who already have some familiarity and facility with basic economics In this course we will focus on microeconomics which is the study of individuals firms and markets	12	Intermediate Economic Analysis	12	Heinz College	36	17	47.20%	6.59	4.47	4.47	4.47	4.06	4.71	4.47	4.65	4.35	4.29
90710	Applied Economic Analysis	Microeconomics is the study of how individuals and firms make choices and how these choices interact in society Economics shares with other behavioral sciences the general goal of explaining and predicting human behavior The distinguishing feature of the economic approach is the emphasis on rational decision making under conditions of scarcity Because of the central role of markets and the price system in describing the outcome of individual and firm decision making microeconomics is sometimes called price theory This course is an introduction to the basic concepts and tools of microeconomics We study how markets work with an emphasis on analysis of the effects of public policy on the welfare of society The course also provides a brief introduction to macroeconomics Read More	12	Applied Economic Analysis	12	Heinz College	58	43	74.10%	7.51	4.81	4.81	4.79	4.42	4.74	4.74	4.91	4.79	4.72
90710	Applied Economic Analysis	Microeconomics is the study of how individuals and firms make choices and how these choices interact in society Economics shares with other behavioral sciences the general goal of explaining and predicting human behavior The distinguishing feature of the economic approach is the emphasis on rational decision making under conditions of scarcity Because of the central role of markets and the price system in describing the outcome of individual and firm decision making microeconomics is sometimes called price theory This course is an introduction to the basic concepts and tools of microeconomics We study how markets work with an emphasis on analysis of the effects of public policy on the welfare of society The course also provides a brief introduction to macroeconomics Read More	12	Applied Economic Analysis	12	Heinz College	53	34	64.20%	7.91	4.74	4.68	4.7	4.15	4.88	4.65	4.88	4.82	4.65
90711	Statistical Reasoning with R	Statistical reasoning is essential to learning from data and understanding the strengths and limitations of data analyses This course is grounded in questions of importance in public policy and focuses on how data and statistical reasoning can inform those questions We will use a hands on approach to develop skills and critical thinking in the fundamentals of causal inference univariate and bivariate descriptive statistics quantifying uncertainty statistical inference and linear regression The hands on approach involves learning the basics of how to use the R statistical language and weekly labs in which students will use R to carry out data analysis on real world policy issues in a supervised setting While useful no R or computer programming experience is required for the course and this course does not replace the stand alone R course This is a rigorous graduate school introductory statistics and data analysis course and students who take this course will be enabled to use and further develop statistical reasoning and methods in your other courses your summer internship your Systems Synthesis Project and in your career In todays information world data are available everywhere and the role of statistics is rapidly increasing in public policy health care the arts the entertainment industry business academia and many other parts of society We echo the message of The New York Times which published an article entitled For Todays Graduate Just One Word Statistics	12	Statistical Reasoning with R	12	Heinz College	38	29	76.30%	14.41	4.79	4.41	4.55	4.1	4.62	4.14	4.93	4.62	3.93
